field,position,text,character_count,notes
final_url,,https://kit-facas-pague-na-entrega.vercel.app/kit-facas-pague-na-entrega,72,
path_1,,kit-facas,9,
path_2,,pague-entrega,13,
headline,1,Pague na Entrega,16,Fixar em titulo 1 se quiser manter o modelo validado
headline,2,Kit de Facas Profissional,25,Fixar em titulo 2 se quiser manter o modelo validado
headline,,Kit de Facas 6 Pecas,20,
headline,,Frete Gratis,12,
headline,,Entrega em ate 3 dias,21,
headline,,Receba em Casa,14,
headline,,Facas Super Afiadas,19,
headline,,Nao Pague Agora,15,
headline,,Pague So na Entrega,19,
headline,,Garanta Seu Kit Hoje,20,
headline,,Kit Para Churrasco,18,
headline,,6 Pecas Profissionais,21,
headline,,Oferta Kit de Facas,19,
headline,,Corte Facil em Casa,19,
headline,,"Frete R$ 0,00",13,
description,1,"Kit de Facas Profissional, Pague na Entrega, Receba em ate 3 dias com Frete Gratis",82,
description,2,"Pague na Entrega, Receba em ate 3 dias com Frete Gratis, Kit de Facas 6 Pecas",77,
description,3,"Kit com 6 Pecas, Pague na Entrega, Frete Gratis e Garantia de 7 Dias",68,
description,4,"Nao pague nada agora. Receba em casa e pague somente na entrega.",64,
